movie_title,avg_compound,avg_positive,avg_neutral,avg_negative,avg_anger,avg_disgust,avg_fear,avg_joy,avg_sadness,avg_surprise
Avengers: Endgame,0.23018857835481565,0.3633363445134213,0.34228363110373417,0.13314776600804176,0.026607662902679255,0.012581856366547637,0.05536619528196747,0.16656474024057388,0.10650068364571776,0.25676189791411164
Avatar: The Way of Water,0.24824148861070475,0.38812612007992964,0.330276120317479,0.13988463042614357,0.030706092969824822,0.023025978636287577,0.030858321250028246,0.24321880605692664,0.09767371339801076,0.16424096524560203
Star Wars: The Force Awakens,0.11842097707092762,0.3739363678265363,0.22056332539146145,0.25551539001675944,0.044669336244308654,0.04303835830418389,0.04060786735111223,0.21970376409978296,0.15278811098930115,0.24529590777199095
Avengers: Infinity War,0.23377210404723883,0.38563349371155103,0.3155246640784511,0.1518613895160767,0.05145776336469372,0.010257997272128661,0.05518128561166421,0.1696908316668123,0.08526225787509849,0.27262520604534074
Spider-Man: No Way Home,0.2223244763041536,0.3399101411737502,0.31704796716726075,0.11758566431856401,0.02591433624620545,0.014452885136706707,0.02968327179512315,0.15475747705204412,0.09387536409621434,0.2776020315724115
Jurassic World,0.11708014453450839,0.33490384792288147,0.3162153491269176,0.21782370342407376,0.04868401095309911,0.027599314219357098,0.04645113474650614,0.24329271001314434,0.08910156526331167,0.16865591594289678
The Lion King,-0.05648147612810135,0.22640074523165818,0.31980900480877605,0.2828822202514857,0.059838438071310465,0.04793407168297558,0.01677234257920641,0.0817182714794762,0.2262307616462931,0.18769710836932063
Furious 7,0.11765239807466665,0.32332125772101183,0.2542545475655546,0.20566886159125716,0.23017835932279315,0.02894195010419931,0.015504564867587715,0.10112514608694857,0.13797252855147232,0.14535623984721796
Top Gun: Maverick,0.17906695843984682,0.3739452836321046,0.38224500678828915,0.19487832421281687,0.04478994310290238,0.01586499139763566,0.039874057129103024,0.2295549685896064,0.08409270492071902,0.15024499658339968
Frozen II,0.06112851209938526,0.2546776301879436,0.29311930523253976,0.19354911565314978,0.0520766409137286,0.007785619520582214,0.02962502480251711,0.12665193843073208,0.1490343015734106,0.16170716592576354
Barbie,0.03819916409659473,0.2694764580433805,0.2525474147174357,0.23127729387402618,0.059811438513005466,0.06454423920149563,0.0438181360111818,0.18818647228309762,0.07810538502235427,0.1365163177876692
Black Panther,0.3347614701464772,0.45647626716643575,0.3114719070257464,0.12171479789695387,0.039045906971053486,0.022583905758025703,0.01879553031486765,0.22607400662498547,0.08774873328628015,0.19428001423366367
Jurassic World: Fallen Kingdom,0.16722544878721238,0.3188629233650863,0.3126527917262865,0.15163747563026844,0.04883590846671719,0.01822676805410686,0.050522871739036974,0.18007105187280104,0.07901392207092914,0.17734335826477035
Star Wars: The Last Jedi,0.09707852390905221,0.3593672863052537,0.26165546075906604,0.26228876212611796,0.052201919570798005,0.04758394380187378,0.04981407834430377,0.1987055535397182,0.10556239196720218,0.237809987476406
Avengers: Age of Ultron,0.20629294661184153,0.37292723897534114,0.24237592361401766,0.16663429256373397,0.03026347100036215,0.010639695358598407,0.08636087356542699,0.20234858322888613,0.09335448357664668,0.20799030283621203
Joker,-0.06647047393023968,0.2716245248665412,0.24948502905123557,0.33809499903737256,0.10460413056231722,0.045770649814221506,0.0319638053993306,0.154661273509458,0.16604133937585477,0.16747377950348888
Aquaman,0.09390116701523463,0.31224202825066943,0.305226122069483,0.2183408619960149,0.05190829612392308,0.045393788525155555,0.032163111799745785,0.19868171421655764,0.0905000000672104,0.18946029865881428
The Fate of the Furious,0.0033097985322060753,0.25616526687922686,0.21380508928154798,0.25285546851303914,0.18190063899079256,0.024484127732854213,0.027556958051813404,0.17471478545694086,0.07430768803308674,0.17279593572324223
Captain Marvel,-0.10736362379819354,0.29909888971534454,0.1687147604030457,0.406462515835594,0.06243875470120243,0.03738136045754283,0.06143710774841446,0.17660753073146557,0.20346737762400566,0.21612760418441596
Spider-Man: Far From Home,0.06966539328296979,0.2699946484093865,0.37338718425521317,0.20032925590251882,0.07881986663133522,0.025428722946477703,0.022057004056599255,0.15276640874391886,0.08891334472922606,0.2319607977984318
