id,video_id,video_title,channel,text,author,published_at,like_count,compound_sentiment,positive_sentiment,neutral_sentiment,negative_sentiment,anger_emotion,disgust_emotion,fear_emotion,joy_emotion,neutral_emotion,sadness_emotion,surprise_emotion
UgzCaVzpcilYtM0gL0B4AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,"You all are *WRONG.*
I watched the movie.
It. Was. AMAZING.",@nashpro56-uwu,2025-04-12T22:46:19Z,0,0.5931760668754578,0.7071595191955566,0.17885702848434448,0.11398345977067947,0.004903983790427446,0.0011452282778918743,0.0038916433695703745,0.5645694732666016,0.023385917767882347,0.004997275769710541,0.39710643887519836
Ugy9ZmHRBDZQn9HMaw94AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,...i don't get it what is wrong with the movie ?the trailer seems okay 😒,@Final_Fantasy_7,2025-04-12T22:33:03Z,0,-0.7629605531692505,0.014819766394793987,0.2073999047279358,0.777780294418335,0.008020458742976189,0.0007434137514792383,0.0008520834380760789,0.9573639035224915,0.019696975126862526,0.006866054143756628,0.006457052193582058
UgyvAVn2fY77PHkAUKB4AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,This movie was terrible! Would NOT recommend 👎,@jasensharp5529,2025-04-12T22:24:33Z,0,-0.9236560463905334,0.011646389029920101,0.053051188588142395,0.9353024363517761,0.014088432304561138,0.0336594320833683,0.9270745515823364,0.001481809071265161,0.0024168724194169044,0.015303426422178745,0.0059754448011517525
UgwRhRMrPwUMtE3TeTh4AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,This movie is the closest thing we will ever get to world peace,@MarySmith-l1c,2025-04-12T22:23:30Z,0,0.05610060691833496,0.32750755548477173,0.4010854959487915,0.27140694856643677,0.0027732038870453835,0.003215803997591138,0.003968114964663982,0.5958499312400818,0.25745725631713867,0.007428881712257862,0.12930677831172943
UgxZlJkCLeicG9HYPwx4AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,"Let's be honest...



You only came here to read the comments.",@MatthewH-l2e,2025-04-12T22:01:39Z,0,-0.3109970688819885,0.028421176597476006,0.6321606040000916,0.3394182324409485,0.004242340102791786,0.002383504994213581,0.0010263232979923487,0.006440418306738138,0.9245485067367554,0.0052033113315701485,0.05615558475255966
UgwffHQ8uixvwIvvplx4AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,the poisonous apple isn't the only bad production,@PerrynFrost,2025-04-12T21:50:50Z,0,-0.880596399307251,0.007117631379514933,0.10516837984323502,0.8877140283584595,0.5205410718917847,0.3293337821960449,0.008722369559109211,0.00438267644494772,0.03659011796116829,0.0961158275604248,0.004314152989536524
UgwxBsg_yYsPaH6tXMR4AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,wall wall on the mirror theres no one in cinema hall,@PerrynFrost,2025-04-12T21:49:04Z,0,-0.12829096615314484,0.04151163995265961,0.7886857986450195,0.16980260610580444,0.007773159071803093,0.007332125678658485,0.00584840215742588,0.005464030429720879,0.06534043699502945,0.2666582763195038,0.6415836215019226
Ugzwrykyalm9bU-IfiR4AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,if i saw this movie in a plane i'd flush my self down,@PerrynFrost,2025-04-12T21:47:01Z,0,-0.8823932409286499,0.012095549143850803,0.09341569989919662,0.8944888114929199,0.1887553185224533,0.014449344016611576,0.6970647573471069,0.009533866308629513,0.0037403011228889227,0.0321088582277298,0.0543476827442646
UgyPQMj7S0uQ8J8yinh4AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,guys stop hating on her.. i cant like ALL the comments..,@jacobtelelyuyev7343,2025-04-12T21:46:59Z,1,-0.8545425534248352,0.008268948644399643,0.1289195567369461,0.8628115057945251,0.12609636783599854,0.0551585890352726,0.005126845557242632,0.10416702926158905,0.2223568558692932,0.3485318720340729,0.13856244087219238
UgxyXJIyzJWbBeyvbx94AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,How can you do such a horrible snow white? Smoke White,@rotomega6297,2025-04-12T21:14:19Z,0,-0.9427629113197327,0.005919430870562792,0.04539818689227104,0.9486823678016663,0.032493654638528824,0.019686264917254448,0.9262016415596008,0.0009352007764391601,0.004550284240394831,0.007340373005717993,0.008792542852461338
Ugwv5EZG_yIEvbJ-AC94AaABAg,iV46TJKL8cU,Disney’s Snow White | Official Trailer | In Theaters March 21,Disney,"I regret to inform everyone that the movie isn't actually
That bad, if you take out the original. Snow white, which they were bashing, pretty hard. It's actually watchable",@Cabbitninja,2025-04-12T21:10:49Z,0,0.1649835705757141,0.4047851264476776,0.3554133176803589,0.2398015558719635,0.0031197979114949703,0.0014221527380868793,0.0018919247668236494,0.03873511403799057,0.022737644612789154,0.8872103095054626,0.044883016496896744
